Year,Region,Race or Ethnicity,Sex,Age Group,Firearm Deaths,Alcohol-Related Deaths,Suicide Deaths
2003,NYC,Black Non Hispanic,F,1-9,0,0,0
2003,NYC,Black Non Hispanic,M,1-9,0,0,0
2003,NYC,Black Non Hispanic,F,10-19,0,1,2
2003,NYC,Black Non Hispanic,M,10-19,7,0,6
2003,NYC,Black Non Hispanic,F,20-24,0,0,1
2003,NYC,Black Non Hispanic,M,20-24,0,1,9
2003,NYC,Black Non Hispanic,F,25-34,1,5,6
2003,NYC,Black Non Hispanic,M,25-34,10,7,6
2003,NYC,Black Non Hispanic,F,35-44,0,18,6
2003,NYC,Black Non Hispanic,M,35-44,4,33,15
2003,NYC,Black Non Hispanic,F,45-54,0,43,3
2003,NYC,Black Non Hispanic,M,45-54,0,99,11
2003,NYC,Black Non Hispanic,F,55-64,0,42,0
2003,NYC,Black Non Hispanic,M,55-64,0,105,3
2003,NYC,Black Non Hispanic,F,65-74,0,14,1
2003,NYC,Black Non Hispanic,M,65-74,0,42,3
2003,NYC,Black Non Hispanic,F,75-84,0,11,0
2003,NYC,Black Non Hispanic,M,75-84,0,16,1
2003,NYC,Black Non Hispanic,F,85+,0,1,0
2003,NYC,Black Non Hispanic,M,85+,0,0,0
2003,NYC,Black Non Hispanic,F,<1,0,0,0
2003,NYC,Black Non Hispanic,M,<1,0,0,0
2003,NYC,Black Non Hispanic,F,Total,1,135,19
2003,NYC,Black Non Hispanic,M,Total,21,303,54
2003,NYC,Hispanic,F,1-9,0,0,0
2003,NYC,Hispanic,M,1-9,0,0,0
2003,NYC,Hispanic,F,10-19,0,2,1
2003,NYC,Hispanic,M,10-19,1,3,5
2003,NYC,Hispanic,F,20-24,1,0,2
2003,NYC,Hispanic,M,20-24,0,3,9
2003,NYC,Hispanic,F,25-34,0,3,3
2003,NYC,Hispanic,M,25-34,6,24,19
2003,NYC,Hispanic,F,35-44,0,17,4
2003,NYC,Hispanic,M,35-44,1,81,12
2003,NYC,Hispanic,F,45-54,0,30,2
2003,NYC,Hispanic,M,45-54,0,154,8
2003,NYC,Hispanic,F,55-64,0,22,2
2003,NYC,Hispanic,M,55-64,0,111,8
2003,NYC,Hispanic,F,65-74,0,22,1
2003,NYC,Hispanic,M,65-74,0,52,5
2003,NYC,Hispanic,F,75-84,0,17,0
2003,NYC,Hispanic,M,75-84,0,14,1
2003,NYC,Hispanic,F,85+,0,2,0
2003,NYC,Hispanic,M,85+,0,2,2
2003,NYC,Hispanic,F,<1,0,0,0
2003,NYC,Hispanic,M,<1,0,0,0
2003,NYC,Hispanic,F,Total,1,115,15
2003,NYC,Hispanic,M,Total,8,444,69
2003,NYC,Not Stated,F,1-9,0,0,0
2003,NYC,Not Stated,M,1-9,0,0,0
2003,NYC,Not Stated,F,10-19,0,0,1
2003,NYC,Not Stated,M,10-19,0,0,0
2003,NYC,Not Stated,F,20-24,0,0,0
2003,NYC,Not Stated,M,20-24,0,0,0
2003,NYC,Not Stated,F,25-34,0,0,1
2003,NYC,Not Stated,M,25-34,0,0,3
2003,NYC,Not Stated,F,35-44,0,4,0
2003,NYC,Not Stated,M,35-44,1,4,4
2003,NYC,Not Stated,F,45-54,0,1,0
2003,NYC,Not Stated,M,45-54,0,18,0
2003,NYC,Not Stated,F,55-64,0,3,1
2003,NYC,Not Stated,M,55-64,0,11,3
2003,NYC,Not Stated,F,65-74,0,2,1
2003,NYC,Not Stated,M,65-74,0,3,1
2003,NYC,Not Stated,F,75-84,0,2,0
2003,NYC,Not Stated,M,75-84,0,2,0
2003,NYC,Not Stated,F,85+,0,0,0
2003,NYC,Not Stated,M,85+,0,1,0
2003,NYC,Not Stated,F,<1,0,0,0
2003,NYC,Not Stated,M,<1,0,0,0
2003,NYC,Not Stated,F,Total,0,12,4
2003,NYC,Not Stated,M,Total,1,39,11
2003,NYC,Other Non Hispanic,F,1-9,0,0,0
2003,NYC,Other Non Hispanic,M,1-9,0,0,0
2003,NYC,Other Non Hispanic,F,10-19,0,0,0
2003,NYC,Other Non Hispanic,M,10-19,0,0,0
2003,NYC,Other Non Hispanic,F,20-24,0,0,0
2003,NYC,Other Non Hispanic,M,20-24,1,0,0
2003,NYC,Other Non Hispanic,F,25-34,0,0,4
2003,NYC,Other Non Hispanic,M,25-34,0,4,4
2003,NYC,Other Non Hispanic,F,35-44,0,1,2
2003,NYC,Other Non Hispanic,M,35-44,2,12,3
2003,NYC,Other Non Hispanic,F,45-54,0,1,1
2003,NYC,Other Non Hispanic,M,45-54,0,9,3
2003,NYC,Other Non Hispanic,F,55-64,0,2,1
2003,NYC,Other Non Hispanic,M,55-64,0,10,8
2003,NYC,Other Non Hispanic,F,65-74,0,4,2
2003,NYC,Other Non Hispanic,M,65-74,0,4,4
2003,NYC,Other Non Hispanic,F,75-84,0,0,3
2003,NYC,Other Non Hispanic,M,75-84,0,7,2
2003,NYC,Other Non Hispanic,F,85+,0,1,1
2003,NYC,Other Non Hispanic,M,85+,0,0,1
2003,NYC,Other Non Hispanic,F,<1,0,0,0
2003,NYC,Other Non Hispanic,M,<1,0,0,0
2003,NYC,Other Non Hispanic,F,Total,0,9,14
2003,NYC,Other Non Hispanic,M,Total,3,46,25
2003,NYC,White Non Hispanic,F,1-9,0,0,0
2003,NYC,White Non Hispanic,M,1-9,0,0,0
2003,NYC,White Non Hispanic,F,10-19,0,0,1
2003,NYC,White Non Hispanic,M,10-19,1,1,6
2003,NYC,White Non Hispanic,F,20-24,0,0,3
2003,NYC,White Non Hispanic,M,20-24,0,3,6
2003,NYC,White Non Hispanic,F,25-34,0,5,5
2003,NYC,White Non Hispanic,M,25-34,4,17,24
2003,NYC,White Non Hispanic,F,35-44,0,21,14
2003,NYC,White Non Hispanic,M,35-44,4,62,27
2003,NYC,White Non Hispanic,F,45-54,1,51,19
2003,NYC,White Non Hispanic,M,45-54,3,167,35
2003,NYC,White Non Hispanic,F,55-64,0,37,20
2003,NYC,White Non Hispanic,M,55-64,0,107,27
2003,NYC,White Non Hispanic,F,65-74,0,32,8
2003,NYC,White Non Hispanic,M,65-74,0,60,15
2003,NYC,White Non Hispanic,F,75-84,0,22,7
2003,NYC,White Non Hispanic,M,75-84,0,36,22
2003,NYC,White Non Hispanic,F,85+,0,7,4
2003,NYC,White Non Hispanic,M,85+,0,11,8
2003,NYC,White Non Hispanic,F,<1,0,0,0
2003,NYC,White Non Hispanic,M,<1,0,1,0
2003,NYC,White Non Hispanic,F,Total,1,175,81
2003,NYC,White Non Hispanic,M,Total,12,465,170
2003,ROS,Black Non Hispanic,F,1-9,1,0,0
2003,ROS,Black Non Hispanic,M,1-9,0,0,0
2003,ROS,Black Non Hispanic,F,10-19,2,0,1
2003,ROS,Black Non Hispanic,M,10-19,26,0,2
2003,ROS,Black Non Hispanic,F,20-24,3,0,3
2003,ROS,Black Non Hispanic,M,20-24,42,0,5
2003,ROS,Black Non Hispanic,F,25-34,5,1,0
2003,ROS,Black Non Hispanic,M,25-34,38,4,6
2003,ROS,Black Non Hispanic,F,35-44,0,4,3
2003,ROS,Black Non Hispanic,M,35-44,9,9,6
2003,ROS,Black Non Hispanic,F,45-54,1,16,0
2003,ROS,Black Non Hispanic,M,45-54,5,51,4
2003,ROS,Black Non Hispanic,F,55-64,0,9,0
2003,ROS,Black Non Hispanic,M,55-64,1,33,3
2003,ROS,Black Non Hispanic,F,65-74,0,7,0
2003,ROS,Black Non Hispanic,M,65-74,1,14,1
2003,ROS,Black Non Hispanic,F,75-84,0,7,0
2003,ROS,Black Non Hispanic,M,75-84,0,6,1
2003,ROS,Black Non Hispanic,F,85+,0,1,0
2003,ROS,Black Non Hispanic,M,85+,0,0,1
2003,ROS,Black Non Hispanic,F,<1,0,0,0
2003,ROS,Black Non Hispanic,M,<1,0,0,0
2003,ROS,Black Non Hispanic,F,Total,12,45,7
2003,ROS,Black Non Hispanic,M,Total,122,117,29
2003,ROS,Hispanic,F,1-9,0,0,0
2003,ROS,Hispanic,M,1-9,0,0,0
2003,ROS,Hispanic,F,10-19,0,0,0
2003,ROS,Hispanic,M,10-19,7,2,1
2003,ROS,Hispanic,F,20-24,0,0,0
2003,ROS,Hispanic,M,20-24,4,1,3
2003,ROS,Hispanic,F,25-34,0,0,2
2003,ROS,Hispanic,M,25-34,5,10,7
2003,ROS,Hispanic,F,35-44,0,3,2
2003,ROS,Hispanic,M,35-44,1,18,2
2003,ROS,Hispanic,F,45-54,1,15,0
2003,ROS,Hispanic,M,45-54,2,36,3
2003,ROS,Hispanic,F,55-64,1,4,0
2003,ROS,Hispanic,M,55-64,0,26,6
2003,ROS,Hispanic,F,65-74,0,7,0
2003,ROS,Hispanic,M,65-74,2,14,4
2003,ROS,Hispanic,F,75-84,0,9,0
2003,ROS,Hispanic,M,75-84,0,10,1
2003,ROS,Hispanic,F,85+,0,2,0
2003,ROS,Hispanic,M,85+,0,1,0
2003,ROS,Hispanic,F,<1,0,0,0
2003,ROS,Hispanic,M,<1,0,0,0
2003,ROS,Hispanic,F,Total,2,40,4
2003,ROS,Hispanic,M,Total,21,118,27
2003,ROS,Not Stated,F,1-9,0,0,0
2003,ROS,Not Stated,M,1-9,0,0,0
2003,ROS,Not Stated,F,10-19,0,0,0
2003,ROS,Not Stated,M,10-19,1,0,1
2003,ROS,Not Stated,F,20-24,0,0,1
2003,ROS,Not Stated,M,20-24,0,0,1
2003,ROS,Not Stated,F,25-34,0,0,0
2003,ROS,Not Stated,M,25-34,2,0,0
2003,ROS,Not Stated,F,35-44,0,0,0
2003,ROS,Not Stated,M,35-44,4,2,0
2003,ROS,Not Stated,F,45-54,0,0,0
2003,ROS,Not Stated,M,45-54,0,1,0
2003,ROS,Not Stated,F,55-64,0,0,1
2003,ROS,Not Stated,M,55-64,0,2,1
2003,ROS,Not Stated,F,65-74,0,0,0
2003,ROS,Not Stated,M,65-74,0,1,0
2003,ROS,Not Stated,F,75-84,0,1,0
2003,ROS,Not Stated,M,75-84,0,1,0
2003,ROS,Not Stated,F,85+,0,0,0
2003,ROS,Not Stated,M,85+,0,0,0
2003,ROS,Not Stated,F,<1,0,0,0
2003,ROS,Not Stated,M,<1,0,0,0
2003,ROS,Not Stated,F,Total,0,1,2
2003,ROS,Not Stated,M,Total,7,7,3
2003,ROS,Other Non Hispanic,F,1-9,1,0,0
2003,ROS,Other Non Hispanic,M,1-9,0,0,0
2003,ROS,Other Non Hispanic,F,10-19,0,0,0
2003,ROS,Other Non Hispanic,M,10-19,0,2,0
2003,ROS,Other Non Hispanic,F,20-24,0,0,0
2003,ROS,Other Non Hispanic,M,20-24,0,0,2
2003,ROS,Other Non Hispanic,F,25-34,0,0,3
2003,ROS,Other Non Hispanic,M,25-34,1,1,6
2003,ROS,Other Non Hispanic,F,35-44,0,2,1
2003,ROS,Other Non Hispanic,M,35-44,0,1,1
2003,ROS,Other Non Hispanic,F,45-54,0,2,1
2003,ROS,Other Non Hispanic,M,45-54,0,6,3
2003,ROS,Other Non Hispanic,F,55-64,0,4,0
2003,ROS,Other Non Hispanic,M,55-64,0,3,1
2003,ROS,Other Non Hispanic,F,65-74,0,4,0
2003,ROS,Other Non Hispanic,M,65-74,0,1,0
2003,ROS,Other Non Hispanic,F,75-84,0,0,0
2003,ROS,Other Non Hispanic,M,75-84,0,1,0
2003,ROS,Other Non Hispanic,F,85+,0,0,0
2003,ROS,Other Non Hispanic,M,85+,0,0,0
2003,ROS,Other Non Hispanic,F,<1,0,0,0
2003,ROS,Other Non Hispanic,M,<1,0,0,0
2003,ROS,Other Non Hispanic,F,Total,1,12,5
2003,ROS,Other Non Hispanic,M,Total,1,15,13
2003,ROS,White Non Hispanic,F,1-9,0,0,0
2003,ROS,White Non Hispanic,M,1-9,1,0,0
2003,ROS,White Non Hispanic,F,10-19,2,0,3
2003,ROS,White Non Hispanic,M,10-19,26,4,34
2003,ROS,White Non Hispanic,F,20-24,1,1,11
2003,ROS,White Non Hispanic,M,20-24,25,8,46
2003,ROS,White Non Hispanic,F,25-34,7,1,16
2003,ROS,White Non Hispanic,M,25-34,34,24,69
2003,ROS,White Non Hispanic,F,35-44,9,43,26
2003,ROS,White Non Hispanic,M,35-44,59,113,116
2003,ROS,White Non Hispanic,F,45-54,13,107,39
2003,ROS,White Non Hispanic,M,45-54,52,295,116
2003,ROS,White Non Hispanic,F,55-64,5,104,18
2003,ROS,White Non Hispanic,M,55-64,49,259,76
2003,ROS,White Non Hispanic,F,65-74,0,104,10
2003,ROS,White Non Hispanic,M,65-74,37,241,44
2003,ROS,White Non Hispanic,F,75-84,0,134,6
2003,ROS,White Non Hispanic,M,75-84,29,166,47
2003,ROS,White Non Hispanic,F,85+,0,28,2
2003,ROS,White Non Hispanic,M,85+,13,44,21
2003,ROS,White Non Hispanic,F,<1,0,0,0
2003,ROS,White Non Hispanic,M,<1,0,0,0
2003,ROS,White Non Hispanic,F,Total,37,522,131
2003,ROS,White Non Hispanic,M,Total,325,1154,569
2004,NYC,Black Non Hispanic,F,1-9,0,0,0
2004,NYC,Black Non Hispanic,M,1-9,0,0,0
2004,NYC,Black Non Hispanic,F,10-19,0,0,3
2004,NYC,Black Non Hispanic,M,10-19,3,0,7
2004,NYC,Black Non Hispanic,F,20-24,0,0,3
2004,NYC,Black Non Hispanic,M,20-24,1,1,15
2004,NYC,Black Non Hispanic,F,25-34,1,1,5
2004,NYC,Black Non Hispanic,M,25-34,7,7,17
2004,NYC,Black Non Hispanic,F,35-44,0,15,4
2004,NYC,Black Non Hispanic,M,35-44,4,39,12
2004,NYC,Black Non Hispanic,F,45-54,0,41,2
2004,NYC,Black Non Hispanic,M,45-54,0,106,7
2004,NYC,Black Non Hispanic,F,55-64,0,30,1
2004,NYC,Black Non Hispanic,M,55-64,0,88,6
2004,NYC,Black Non Hispanic,F,65-74,0,19,0
2004,NYC,Black Non Hispanic,M,65-74,0,58,2
2004,NYC,Black Non Hispanic,F,75-84,0,15,0
2004,NYC,Black Non Hispanic,M,75-84,0,16,3
2004,NYC,Black Non Hispanic,F,85+,0,3,0
2004,NYC,Black Non Hispanic,M,85+,0,2,2
2004,NYC,Black Non Hispanic,F,<1,0,0,0
2004,NYC,Black Non Hispanic,M,<1,0,0,0
2004,NYC,Black Non Hispanic,F,Total,1,124,18
2004,NYC,Black Non Hispanic,M,Total,15,317,71
2004,NYC,Hispanic,F,1-9,0,0,0
2004,NYC,Hispanic,M,1-9,0,0,0
2004,NYC,Hispanic,F,10-19,0,1,2
2004,NYC,Hispanic,M,10-19,0,1,6
2004,NYC,Hispanic,F,20-24,0,1,0
2004,NYC,Hispanic,M,20-24,0,7,11
2004,NYC,Hispanic,F,25-34,1,3,7
2004,NYC,Hispanic,M,25-34,1,16,13
2004,NYC,Hispanic,F,35-44,0,24,3
2004,NYC,Hispanic,M,35-44,3,69,11
2004,NYC,Hispanic,F,45-54,0,35,1
2004,NYC,Hispanic,M,45-54,1,134,16
2004,NYC,Hispanic,F,55-64,0,21,1
2004,NYC,Hispanic,M,55-64,0,107,8
2004,NYC,Hispanic,F,65-74,0,30,1
2004,NYC,Hispanic,M,65-74,0,57,3
2004,NYC,Hispanic,F,75-84,0,22,0
2004,NYC,Hispanic,M,75-84,0,19,1
2004,NYC,Hispanic,F,85+,0,3,0
2004,NYC,Hispanic,M,85+,0,2,1
2004,NYC,Hispanic,F,<1,0,0,0
2004,NYC,Hispanic,M,<1,0,0,0
2004,NYC,Hispanic,F,Total,1,140,15
2004,NYC,Hispanic,M,Total,5,412,70
2004,NYC,Not Stated,F,1-9,0,0,0
2004,NYC,Not Stated,M,1-9,0,0,0
2004,NYC,Not Stated,F,10-19,0,0,0
2004,NYC,Not Stated,M,10-19,0,0,0
2004,NYC,Not Stated,F,20-24,0,0,0
2004,NYC,Not Stated,M,20-24,0,0,0
2004,NYC,Not Stated,F,25-34,0,1,0
2004,NYC,Not Stated,M,25-34,0,0,1
2004,NYC,Not Stated,F,35-44,0,2,0
2004,NYC,Not Stated,M,35-44,0,4,2
2004,NYC,Not Stated,F,45-54,0,3,1
2004,NYC,Not Stated,M,45-54,0,8,1
2004,NYC,Not Stated,F,55-64,0,3,0
2004,NYC,Not Stated,M,55-64,0,5,0
2004,NYC,Not Stated,F,65-74,0,2,0
2004,NYC,Not Stated,M,65-74,0,3,0
2004,NYC,Not Stated,F,75-84,0,2,0
2004,NYC,Not Stated,M,75-84,0,0,0
2004,NYC,Not Stated,F,85+,0,0,0
2004,NYC,Not Stated,M,85+,0,0,0
2004,NYC,Not Stated,F,<1,0,0,0
2004,NYC,Not Stated,M,<1,0,0,0
2004,NYC,Not Stated,F,Total,0,13,1
2004,NYC,Not Stated,M,Total,0,20,4
2004,NYC,Other Non Hispanic,F,1-9,0,0,0
2004,NYC,Other Non Hispanic,M,1-9,0,0,0
2004,NYC,Other Non Hispanic,F,10-19,0,0,0
2004,NYC,Other Non Hispanic,M,10-19,0,0,2
2004,NYC,Other Non Hispanic,F,20-24,0,0,2
2004,NYC,Other Non Hispanic,M,20-24,0,1,2
2004,NYC,Other Non Hispanic,F,25-34,0,0,3
2004,NYC,Other Non Hispanic,M,25-34,1,5,3
2004,NYC,Other Non Hispanic,F,35-44,0,1,3
2004,NYC,Other Non Hispanic,M,35-44,0,5,1
2004,NYC,Other Non Hispanic,F,45-54,0,2,1
2004,NYC,Other Non Hispanic,M,45-54,0,12,8
2004,NYC,Other Non Hispanic,F,55-64,0,5,1
2004,NYC,Other Non Hispanic,M,55-64,0,8,5
2004,NYC,Other Non Hispanic,F,65-74,0,5,3
2004,NYC,Other Non Hispanic,M,65-74,0,8,4
2004,NYC,Other Non Hispanic,F,75-84,0,1,2
2004,NYC,Other Non Hispanic,M,75-84,0,3,3
2004,NYC,Other Non Hispanic,F,85+,0,2,2
2004,NYC,Other Non Hispanic,M,85+,0,1,2
2004,NYC,Other Non Hispanic,F,<1,0,0,0
2004,NYC,Other Non Hispanic,M,<1,0,0,0
2004,NYC,Other Non Hispanic,F,Total,0,16,17
2004,NYC,Other Non Hispanic,M,Total,1,43,30
2004,NYC,White Non Hispanic,F,1-9,0,0,0
2004,NYC,White Non Hispanic,M,1-9,0,0,0
2004,NYC,White Non Hispanic,F,10-19,0,0,3
2004,NYC,White Non Hispanic,M,10-19,0,0,6
2004,NYC,White Non Hispanic,F,20-24,0,1,5
2004,NYC,White Non Hispanic,M,20-24,2,2,7
2004,NYC,White Non Hispanic,F,25-34,0,6,7
2004,NYC,White Non Hispanic,M,25-34,2,19,19
2004,NYC,White Non Hispanic,F,35-44,0,16,8
2004,NYC,White Non Hispanic,M,35-44,1,58,45
2004,NYC,White Non Hispanic,F,45-54,0,46,16
2004,NYC,White Non Hispanic,M,45-54,1,122,31
2004,NYC,White Non Hispanic,F,55-64,0,37,14
2004,NYC,White Non Hispanic,M,55-64,2,105,25
2004,NYC,White Non Hispanic,F,65-74,0,30,2
2004,NYC,White Non Hispanic,M,65-74,1,70,19
2004,NYC,White Non Hispanic,F,75-84,0,26,5
2004,NYC,White Non Hispanic,M,75-84,0,50,14
2004,NYC,White Non Hispanic,F,85+,0,10,6
2004,NYC,White Non Hispanic,M,85+,0,6,6
2004,NYC,White Non Hispanic,F,<1,0,0,0
2004,NYC,White Non Hispanic,M,<1,0,0,0
2004,NYC,White Non Hispanic,F,Total,0,172,66
2004,NYC,White Non Hispanic,M,Total,9,432,172
2004,ROS,Black Non Hispanic,F,1-9,0,0,0
2004,ROS,Black Non Hispanic,M,1-9,0,0,0
2004,ROS,Black Non Hispanic,F,10-19,0,0,0
2004,ROS,Black Non Hispanic,M,10-19,12,0,3
2004,ROS,Black Non Hispanic,F,20-24,3,0,0
2004,ROS,Black Non Hispanic,M,20-24,31,0,6
2004,ROS,Black Non Hispanic,F,25-34,3,0,2
2004,ROS,Black Non Hispanic,M,25-34,27,5,8
2004,ROS,Black Non Hispanic,F,35-44,1,4,1
2004,ROS,Black Non Hispanic,M,35-44,13,9,5
2004,ROS,Black Non Hispanic,F,45-54,0,15,3
2004,ROS,Black Non Hispanic,M,45-54,5,38,5
2004,ROS,Black Non Hispanic,F,55-64,0,14,1
2004,ROS,Black Non Hispanic,M,55-64,3,35,6
2004,ROS,Black Non Hispanic,F,65-74,0,11,0
2004,ROS,Black Non Hispanic,M,65-74,3,22,2
2004,ROS,Black Non Hispanic,F,75-84,0,2,0
2004,ROS,Black Non Hispanic,M,75-84,1,4,2
2004,ROS,Black Non Hispanic,F,85+,0,1,0
2004,ROS,Black Non Hispanic,M,85+,0,2,0
2004,ROS,Black Non Hispanic,F,<1,0,0,0
2004,ROS,Black Non Hispanic,M,<1,0,0,0
2004,ROS,Black Non Hispanic,F,Total,7,47,7
2004,ROS,Black Non Hispanic,M,Total,95,115,37
2004,ROS,Hispanic,F,1-9,0,0,0
2004,ROS,Hispanic,M,1-9,0,0,0
2004,ROS,Hispanic,F,10-19,2,0,0
